file,Best_Baseline_Algo,Best_Baseline_Score,Best_TSPulse_Algo,Best_TSPulse_Score,TSPulse_ZS_ensemble,TSPulse2,Diff_TSPulse2_vs_Baseline,Diff_ZS_vs_Baseline,Diff_TSPulse2_vs_Best_TSPulse,Diff_TSPulse2_vs_Ensemble
271_IOPS_id_12_WebService_tr_500_1st_341,SR,0.3815666547343621,TSPulse_ZS_time,0.992145,0.408722,0.473032,0.09146534526563793,0.6105783452656379,-0.519113,0.06431000000000003
273_IOPS_id_14_WebService_tr_5569_1st_5669,MOMENT (FT),0.6387803000391984,TSPulse_ZS_ensemble,0.972353,0.972353,0.723147,0.0843666999608016,0.33357269996080163,-0.24920600000000004,-0.24920600000000004
421_UCR_id_119_HumanActivity_tr_48750_1st_130700,POLY,0.0206891177759082,TSPulse_ZS_time,0.793622,0.722479,0.09544,0.07475088222409179,0.7729328822240918,-0.6981820000000001,-0.627039
558_YAHOO_id_8_WebService_tr_500_1st_1125,AutoEncoder,0.5341799068029839,TSPulse_ZS_ensemble,0.848109,0.848109,0.606179,0.07199909319701614,0.3139290931970161,-0.24192999999999998,-0.24192999999999998
239_SVDB_id_3_Medical_tr_50000_1st_106634,KShapeAD,0.7754787737219411,TSPulse_ZS_future,0.991052,0.510927,0.838961,0.06348222627805888,0.21557322627805897,-0.1520910000000001,0.32803399999999994
262_IOPS_id_3_WebService_tr_7028_1st_7128,IForest,0.3060054129641131,TSPulse_ZS_future,0.946182,0.531018,0.36858,0.06257458703588692,0.6401765870358869,-0.577602,-0.16243799999999997
326_UCR_id_24_Medical_tr_1875_1st_4187,KShapeAD,0.8836950814341739,TSPulse_ZS_ensemble,0.728273,0.728273,0.945415,0.06171991856582615,-0.1554220814341739,0.21714200000000006,0.21714200000000006
828_Exathlon_id_19_Facility_tr_11663_1st_13482,Sub-PCA,0.9319125508030188,TSPulse_ZS_time,0.893647,0.590387,0.99106,0.05914744919698123,-0.038265550803018855,0.09741300000000008,0.40067300000000006
355_UCR_id_53_HumanActivity_tr_48750_1st_143411,SR,0.144067657767914,TSPulse_ZS_ensemble,0.630233,0.630233,0.200293,0.056225342232086,0.4861653422320861,-0.42994000000000004,-0.42994000000000004
190_SMD_id_13_Facility_tr_7119_1st_15849,MOMENT (ZS),0.6812771368843034,TSPulse_ZS_future,0.736121,0.469558,0.72729,0.046012863115696634,0.05484386311569667,-0.008831000000000033,0.257732
089_WSD_id_61_WebService_tr_1010_1st_1110,CNN,0.92055551820949,TSPulse_ZS_future,0.874523,0.468332,0.965418,0.04486248179051,-0.04603251820948995,0.09089499999999995,0.497086
473_UCR_id_171_HumanActivity_tr_2617_1st_7290,Sub-LOF,0.2390985145995865,TSPulse_ZS_future,0.920548,0.179619,0.282319,0.04322048540041348,0.6814494854004135,-0.638229,0.10269999999999999
