file,Best_Baseline_Algo,Best_Baseline_Score,TSPulse_ZS,Diff_vs_Baseline
285_NEK_id_9_WebService_tr_500_1st_780.csv,Sub-PCA,0.9555692808627966,0.0,0.0
176_MITDB_id_7_Medical_tr_6232_1st_6332.csv,KShapeAD,0.9626206288992588,0.0,0.0
846_OPPORTUNITY_id_5_HumanActivity_tr_2085_1st_2185.csv,Sub-PCA,0.9638030185637776,0.0,0.0
284_NEK_id_8_WebService_tr_500_1st_976.csv,Sub-PCA,0.9690287804530467,0.0,0.0
843_OPPORTUNITY_id_2_HumanActivity_tr_808_1st_908.csv,Sub-PCA,0.9698232047641542,0.0,0.0
845_OPPORTUNITY_id_4_HumanActivity_tr_7295_1st_27516.csv,USAD,0.9739349221065868,0.0,0.0
283_NEK_id_7_WebService_tr_500_1st_777.csv,Sub-PCA,0.9751752550160644,0.0,0.0
277_NEK_id_1_WebService_tr_500_1st_17.csv,TimesNet,0.9755054993900172,0.0,0.0
010_NAB_id_10_WebService_tr_500_1st_271.csv,MOMENT (ZS),0.9813187465510383,0.0,0.0
861_OPPORTUNITY_id_20_HumanActivity_tr_2085_1st_2185.csv,Sub-PCA,0.9831636243317632,0.0,0.0
842_OPPORTUNITY_id_1_HumanActivity_tr_7295_1st_27516.csv,Sub-PCA,0.9839374809354482,0.0,0.0
856_OPPORTUNITY_id_15_HumanActivity_tr_808_1st_908.csv,USAD,0.9895374559442452,0.0,0.0
870_OPPORTUNITY_id_29_HumanActivity_tr_1477_1st_1577.csv,Sub-PCA,0.9899096159762304,0.0,0.0
869_OPPORTUNITY_id_28_HumanActivity_tr_500_1st_566.csv,Sub-PCA,0.9924368845704568,0.0,0.0
279_NEK_id_3_WebService_tr_500_1st_974.csv,Sub-PCA,0.9926101945454334,0.0,0.0
854_OPPORTUNITY_id_13_HumanActivity_tr_1477_1st_1577.csv,Sub-PCA,0.9937723835641996,0.0,0.0
862_OPPORTUNITY_id_21_HumanActivity_tr_500_1st_566.csv,Sub-PCA,0.9942843304863896,0.0,0.0
865_OPPORTUNITY_id_24_HumanActivity_tr_2085_1st_2185.csv,Sub-PCA,0.9954174578054474,0.0,0.0
844_OPPORTUNITY_id_3_HumanActivity_tr_500_1st_566.csv,USAD,0.9954658523123608,0.0,0.0
281_NEK_id_5_WebService_tr_500_1st_974.csv,Sub-PCA,0.9955899625892408,0.0,0.0
866_OPPORTUNITY_id_25_HumanActivity_tr_6213_1st_7311.csv,Sub-PCA,0.9967320638121808,0.0,0.0
849_OPPORTUNITY_id_8_HumanActivity_tr_1100_1st_1200.csv,Sub-PCA,0.9969112680194946,0.0,0.0
850_OPPORTUNITY_id_9_HumanActivity_tr_895_1st_995.csv,USAD,0.9971669091187836,0.0,0.0
867_OPPORTUNITY_id_26_HumanActivity_tr_808_1st_908.csv,Sub-PCA,0.9973456819500912,0.0,0.0
858_OPPORTUNITY_id_17_HumanActivity_tr_808_1st_908.csv,CNN,0.9984870955180104,0.0,0.0
853_OPPORTUNITY_id_12_HumanActivity_tr_808_1st_908.csv,USAD,0.9988614966821197,0.0,0.0
863_OPPORTUNITY_id_22_HumanActivity_tr_808_1st_908.csv,USAD,0.9990970116506293,0.0,0.0
020_NAB_id_20_Synthetic_tr_1007_1st_2679.csv,KMeansAD,0.999172240138404,0.0,0.0
860_OPPORTUNITY_id_19_HumanActivity_tr_808_1st_908.csv,USAD,0.9995800386928292,0.0,0.0
028_NAB_id_28_Facility_tr_1007_1st_3447.csv,KShapeAD,0.999976622044092,0.0,0.0
024_NAB_id_24_Synthetic_tr_1007_1st_2787.csv,Series2Graph,0.9999991368789436,0.0,0.0
015_NAB_id_15_Synthetic_tr_1007_1st_2787.csv,Series2Graph,0.9999992189926712,0.0,0.0
551_YAHOO_id_1_Synthetic_tr_500_1st_893.csv,KShapeAD,1.0,1.0,0.0
552_YAHOO_id_2_Synthetic_tr_500_1st_893.csv,IForest,1.0,1.0,0.0
562_YAHOO_id_12_Synthetic_tr_500_1st_893.csv,IForest,1.0,1.0,0.0
603_YAHOO_id_53_Synthetic_tr_500_1st_893.csv,IForest,1.0,1.0,0.0
649_YAHOO_id_99_WebService_tr_500_1st_1386.csv,IForest,1.0,1.0,0.0
680_YAHOO_id_130_Synthetic_tr_500_1st_893.csv,IForest,1.0,1.0,0.0
