file,Dataset,Best_Algo,Best_Score,Oracle,TSPulse2,TSPulse2Triangulation,TSPulse2_llm_selection_ablated_ensemble,TSPulse2_llm_selection_ablated_fft,TSPulse2_llm_selection_ablated_forecast,TSPulse2_llm_selection_ablated_time,TSPulseFT,TSPulseZS
014_MSL_id_13_Sensor_tr_1525_1st_4575,MSL,TSPulse2,0.9993170666209396,0.9993170666209396,0.9993170666209396,0.9993170666209396,0.9901178455454904,0.9600920393025963,0.6925695173956078,0.9993170666209396,0.21,0.7280691586211954
015_MSL_id_14_Sensor_tr_575_1st_1250,MSL,TSPulseZS,0.5631000192294047,0.0941626379173894,0.0941626379173894,0.0778560807282502,0.0776559708519426,0.0771467918803263,0.0941626379173894,0.0778560807282502,0.21,0.5631000192294047
016_MSL_id_15_Sensor_tr_500_1st_780,MSL,TSPulse2_llm_selection_ablated_ensemble,0.9175762158010006,0.9175762158010006,0.610251000325984,0.817057598569785,0.9175762158010006,0.7777417336535206,0.610251000325984,0.817057598569785,0.21,0.4218414103715416
017_MSL_id_16_Sensor_tr_512_1st_1850,MSL,TSPulse2,0.9147139219784844,0.9147139219784844,0.9147139219784844,0.8564947501060675,0.8581499575703402,0.8561177821861502,0.9147139219784844,0.8564947501060675,0.21,0.4202731811047945
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732,Daphnet,TSPulse2_llm_selection_ablated_time,0.3605206217943749,0.3605206217943749,0.3571634849922147,0.3605206217943749,0.3565241214773007,0.355752788170817,0.3285125541932717,0.3605206217943749,0.35,0.3492513646856368
019_MITDB_id_1_Medical_tr_37500_1st_103211,MITDB,TSPulseZS,0.1841790977088077,0.1655071962369009,0.165469208705721,0.1655071962369009,0.1655071962369009,0.164923752811058,0.1453745530125559,0.160974986816243,0.14,0.1841790977088077
020_MITDB_id_2_Medical_tr_50000_1st_52315,MITDB,TSPulseFT,0.14,0.0050902366491891,0.0050902366491891,0.0050902366491891,0.0050902366491891,0.0045204212768932,0.0027431216317486,0.0050183718004082,0.14,0.0023229107093969
021_MITDB_id_3_Medical_tr_50000_1st_57595,MITDB,TSPulseFT,0.14,0.0185097582858147,0.0175917287733164,0.0185097582858147,0.0185097582858147,0.0182741630982451,0.0172132606447991,0.0175917287733164,0.14,0.021740337025349
022_MITDB_id_4_Medical_tr_50000_1st_54253,MITDB,TSPulseFT,0.14,0.079513195633361,0.0743955030224801,0.0749803580488563,0.0749803580488563,0.079513195633361,0.0505601448302413,0.0743955030224801,0.14,0.0572128379123196
024_MITDB_id_6_Medical_tr_50000_1st_58118,MITDB,TSPulseFT,0.14,0.0865412937630884,0.081309175487599,0.0865412937630884,0.0865412937630884,0.0827452914464947,0.0112513742957872,0.081309175487599,0.14,0.0639775596679278
025_MITDB_id_7_Medical_tr_37500_1st_88864,MITDB,TSPulseFT,0.14,0.067378469447288,0.067378469447288,0.067378469447288,0.067378469447288,0.0628148433258195,0.045330461734381,0.0475936276135927,0.14,0.0649538913696497
